streetNumber,streetName,suburbName,status,postcode,lat,lng
17,Bathurst Street,Liverpool,1.0,2170.0,-33.9167935,150.9220757
19,Bathurst Street,Liverpool,1.0,2170.0,-33.916953,150.9220757
21,Bathurst Street,Liverpool,1.0,2170.0,-33.9171407,150.92203030000005
23,Bathurst Street,Liverpool,1.0,2170.0,-33.920003200000004,150.9214115
25,Bathurst Street,Liverpool,1.0,2170.0,-33.9201503,150.92148490000002
27,Bathurst Street,Liverpool,1.0,2170.0,-33.9202489,150.9213258
29,Bathurst Street,Liverpool,1.0,2170.0,-33.9204886,150.9213266
1,Beale Street,Liverpool,1.0,2170.0,-33.922963200000005,150.91606090000005
3,Beale Street,Liverpool,1.0,2170.0,-33.9229836,150.9166999
5,Beale Street,Liverpool,1.0,2170.0,-33.922963200000005,150.91606090000005
7,Beale Street,Liverpool,1.0,2170.0,-33.9222828,150.9167264
9,Beale Street,Liverpool,1.0,2170.0,-33.9222828,150.9167264
11,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
13,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
15,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
17,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
19,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
21,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
23,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
25,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
27,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
29,Beale Street,Liverpool,1.0,2170.0,-33.9223685,150.9161553
1,Bigge Street,Liverpool,1.0,2170.0,-33.9146821,150.92812659999996
3,Bigge Street,Liverpool,1.0,2170.0,-33.9148359,150.92809069999996
5,Bigge Street,Liverpool,1.0,2170.0,-33.914992299999994,150.9280612
7,Bigge Street,Liverpool,1.0,2170.0,-33.91515089999999,150.9280315
9,Bigge Street,Liverpool,1.0,2170.0,-33.91533560000001,150.92802969999997
11,Bigge Street,Liverpool,1.0,2170.0,-33.9153333,150.9280126
13,Bigge Street,Liverpool,1.0,2170.0,-33.9161193,150.92780280000005
15,Bigge Street,Liverpool,1.0,2170.0,-33.9163256,150.92784790000005
17,Bigge Street,Liverpool,1.0,2170.0,-33.9164501,150.92771159999995
19,Bigge Street,Liverpool,1.0,2170.0,-33.9165814,150.927757
21,Bigge Street,Liverpool,1.0,2170.0,-33.916729200000006,150.92771159999995
23,Bigge Street,Liverpool,1.0,2170.0,-33.9168371,150.92766609999995
25,Bigge Street,Liverpool,1.0,2170.0,-33.9169668,150.9274437
27,Bigge Street,Liverpool,1.0,2170.0,-33.9171945,150.9276169
29,Bigge Street,Liverpool,1.0,2170.0,-33.9171945,150.9276169
1,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9352713,150.9183254
3,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9351251,150.91840280000002
5,Birkdale Crescent,Liverpool,1.0,2170.0,-33.935001,150.91848180000005
7,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9348734,150.9185386
9,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9347773,150.9185989
11,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9346413,150.9186898
13,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9344161,150.918667
15,Birkdale Crescent,Liverpool,1.0,2170.0,-33.93410240000001,150.91880780000002
17,Birkdale Crescent,Liverpool,1.0,2170.0,-33.934071200000005,150.9190306
19,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9340782,150.91921240000005
21,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9341532,150.91934880000005
23,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9342,150.91953059999997
25,Birkdale Crescent,Liverpool,1.0,2170.0,-33.93427500000001,150.9196669
27,Birkdale Crescent,Liverpool,1.0,2170.0,-33.93435,150.9198033
29,Birkdale Crescent,Liverpool,1.0,2170.0,-33.9344109,150.9199623
1,Bosley Avenue,Liverpool,1.0,2170.0,-33.9122579,150.9118107
3,Bosley Avenue,Liverpool,1.0,2170.0,-33.91224589999999,150.9118499
5,Bosley Avenue,Liverpool,1.0,2170.0,-33.9123722,150.91200940000004
7,Bosley Avenue,Liverpool,1.0,2170.0,-33.9124434,150.9122332
9,Bosley Avenue,Liverpool,1.0,2170.0,-33.912318299999995,150.9124407
11,Bosley Avenue,Liverpool,1.0,2170.0,-33.9122737,150.9125771
13,Bosley Avenue,Liverpool,1.0,2170.0,-33.9120438,150.91269069999996
15,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
17,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
19,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
21,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
23,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
25,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
27,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
29,Bosley Avenue,Liverpool,1.0,2170.0,-33.9119884,150.9124124
1,Boundary Road,Liverpool,1.0,2170.0,-33.9360408,150.91405769999997
3,Boundary Road,Liverpool,1.0,2170.0,-33.9360455,150.9138496
5,Boundary Road,Liverpool,1.0,2170.0,-33.9360714,150.913486
7,Boundary Road,Liverpool,1.0,2170.0,-33.9356324,150.9135351
9,Boundary Road,Liverpool,1.0,2170.0,-33.9360793,150.912972
11,Boundary Road,Liverpool,1.0,2170.0,-33.93584129999999,150.9127892
13,Boundary Road,Liverpool,1.0,2170.0,-33.935919299999995,150.9125089
15,Boundary Road,Liverpool,1.0,2170.0,-33.9358865,150.9123044
17,Boundary Road,Liverpool,1.0,2170.0,-33.9357726,150.9121489
19,Boundary Road,Liverpool,1.0,2170.0,-33.9357553,150.9118727
21,Boundary Road,Liverpool,1.0,2170.0,-33.935790600000004,150.9116227
23,Boundary Road,Liverpool,1.0,2170.0,-33.93563820000001,150.9114182
25,Boundary Road,Liverpool,1.0,2170.0,-33.935736799999994,150.9112591
27,Boundary Road,Liverpool,1.0,2170.0,-33.9356665,150.9109865
29,Boundary Road,Liverpool,1.0,2170.0,-33.9355593,150.9105397
1,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
3,Bourke Street,Liverpool,1.0,2170.0,-33.9253915,150.9186898
5,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
7,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
9,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
11,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
13,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
15,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
17,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
19,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
21,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
23,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
25,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
27,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
29,Bourke Street,Liverpool,1.0,2170.0,-33.9254094,150.9186867
1,Browne Parade,Liverpool,1.0,2170.0,-33.914708000000005,150.9271437
3,Browne Parade,Liverpool,1.0,2170.0,-33.9149474,150.9270936
5,Browne Parade,Liverpool,1.0,2170.0,-33.9149474,150.9270936
7,Browne Parade,Liverpool,1.0,2170.0,-33.91525470000001,150.92703390000003
9,Browne Parade,Liverpool,1.0,2170.0,-33.91525470000001,150.92703390000003
11,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
13,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
15,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
17,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
19,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
21,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
23,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
25,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
27,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
29,Browne Parade,Liverpool,1.0,2170.0,-33.91525600000001,150.9270436
1,Bunce Road,Liverpool,1.0,2170.0,-33.9198913,150.9065526
3,Bunce Road,Liverpool,1.0,2170.0,-33.919681,150.906351
5,Bunce Road,Liverpool,1.0,2170.0,-33.9194864,150.9062147
7,Bunce Road,Liverpool,1.0,2170.0,-33.9195052,150.90605559999997
9,Bunce Road,Liverpool,1.0,2170.0,-33.9196742,150.905783
11,Bunce Road,Liverpool,1.0,2170.0,-33.919807899999995,150.9057602
13,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
15,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
17,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
19,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
21,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
23,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
25,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
27,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
29,Bunce Road,Liverpool,1.0,2170.0,-33.9198458,150.9061689
1,Calabro Avenue,Liverpool,1.0,2170.0,-33.9278519,150.9060329
3,Calabro Avenue,Liverpool,1.0,2170.0,-33.9280126,150.90599880000005
5,Calabro Avenue,Liverpool,1.0,2170.0,-33.9281547,150.905951
7,Calabro Avenue,Liverpool,1.0,2170.0,-33.928306899999995,150.90594199999995
9,Calabro Avenue,Liverpool,1.0,2170.0,-33.9284547,150.9058966
11,Calabro Avenue,Liverpool,1.0,2170.0,-33.9286276,150.905854
13,Calabro Avenue,Liverpool,1.0,2170.0,-33.9288417,150.9061372
15,Calabro Avenue,Liverpool,1.0,2170.0,-33.9292966,150.9057602
17,Calabro Avenue,Liverpool,1.0,2170.0,-33.92943270000001,150.90566940000005
19,Calabro Avenue,Liverpool,1.0,2170.0,-33.9295921,150.90566940000005
21,Calabro Avenue,Liverpool,1.0,2170.0,-33.929739899999994,150.9056239
23,Calabro Avenue,Liverpool,1.0,2170.0,-33.9305574,150.9058158
25,Calabro Avenue,Liverpool,1.0,2170.0,-33.9305574,150.9058158
27,Calabro Avenue,Liverpool,1.0,2170.0,-33.9308708,150.90576030000003
29,Calabro Avenue,Liverpool,1.0,2170.0,-33.930902,150.90561709999997
1,Campbell Street,Liverpool,1.0,2170.0,-33.918361,150.93005300000004
3,Campbell Street,Liverpool,1.0,2170.0,-33.91818370000001,150.929746
5,Campbell Street,Liverpool,1.0,2170.0,-33.91818370000001,150.929746
7,Campbell Street,Liverpool,1.0,2170.0,-33.9184929,150.9293251
9,Campbell Street,Liverpool,1.0,2170.0,-33.9184537,150.9290274
11,Campbell Street,Liverpool,1.0,2170.0,-33.9184537,150.9290274
13,Campbell Street,Liverpool,1.0,2170.0,-33.9184117,150.9287084
15,Campbell Street,Liverpool,1.0,2170.0,-33.91836970000001,150.9283895
17,Campbell Street,Liverpool,1.0,2170.0,-33.91836970000001,150.9283895
19,Campbell Street,Liverpool,1.0,2170.0,-33.9183213,150.92803080000004
21,Campbell Street,Liverpool,1.0,2170.0,-33.9183213,150.92803080000004
23,Campbell Street,Liverpool,1.0,2170.0,-33.918285,150.9277416
25,Campbell Street,Liverpool,1.0,2170.0,-33.918285,150.9277416
27,Campbell Street,Liverpool,1.0,2170.0,-33.9182348,150.9273897
29,Campbell Street,Liverpool,1.0,2170.0,-33.9177945,150.9270678
1,Carboni Street,Liverpool,1.0,2170.0,-33.9192326,150.917128
3,Carboni Street,Liverpool,1.0,2170.0,-33.9192326,150.917128
5,Carboni Street,Liverpool,1.0,2170.0,-33.9194185,150.91693999999995
7,Carboni Street,Liverpool,1.0,2170.0,-33.9196376,150.9169247
9,Carboni Street,Liverpool,1.0,2170.0,-33.9196376,150.9169247
11,Carboni Street,Liverpool,1.0,2170.0,-33.9197986,150.9167128
13,Carboni Street,Liverpool,1.0,2170.0,-33.9199886,150.91659919999995
15,Carboni Street,Liverpool,1.0,2170.0,-33.92005020000001,150.9164937
17,Carboni Street,Liverpool,1.0,2170.0,-33.9201154,150.9163946
19,Carboni Street,Liverpool,1.0,2170.0,-33.9202374,150.9163265
21,Carboni Street,Liverpool,1.0,2170.0,-33.9203477,150.9162129
23,Carboni Street,Liverpool,1.0,2170.0,-33.920483700000005,150.916122
25,Carboni Street,Liverpool,1.0,2170.0,-33.9206076,150.9161398
27,Carboni Street,Liverpool,1.0,2170.0,-33.9206762,150.91594019999997
29,Carboni Street,Liverpool,1.0,2170.0,-33.9208005,150.91580380000005
1,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
3,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
5,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
7,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
9,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
11,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
13,Carey Street,Liverpool,1.0,2170.0,-33.9283638,150.9199715
15,Carey Street,Liverpool,1.0,2170.0,-33.9283638,150.9199715
17,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
19,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
21,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
23,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
25,Carey Street,Liverpool,1.0,2170.0,-33.9283638,150.9199715
27,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
29,Carey Street,Liverpool,1.0,2170.0,-33.928099,150.9195212
1,Castlereagh Street,Liverpool,1.0,2170.0,-33.9155527,150.92096809999995
3,Castlereagh Street,Liverpool,1.0,2170.0,-33.9159543,150.9209849
5,Castlereagh Street,Liverpool,1.0,2170.0,-33.9161138,150.9209849
7,Castlereagh Street,Liverpool,1.0,2170.0,-33.91627330000001,150.9209849
9,Castlereagh Street,Liverpool,1.0,2170.0,-33.9164493,150.920894
11,Castlereagh Street,Liverpool,1.0,2170.0,-33.9165701,150.92086
13,Castlereagh Street,Liverpool,1.0,2170.0,-33.9166769,150.9208486
15,Castlereagh Street,Liverpool,1.0,2170.0,-33.9168919,150.92075490000005
17,Castlereagh Street,Liverpool,1.0,2170.0,-33.9168919,150.92075490000005
19,Castlereagh Street,Liverpool,1.0,2170.0,-33.9171698,150.9208157
21,Castlereagh Street,Liverpool,1.0,2170.0,-33.9175331,150.9206895
23,Castlereagh Street,Liverpool,1.0,2170.0,-33.9176592,150.92063280000005
25,Castlereagh Street,Liverpool,1.0,2170.0,-33.9179135,150.920628
27,Castlereagh Street,Liverpool,1.0,2170.0,-33.9179135,150.920628
29,Castlereagh Street,Liverpool,1.0,2170.0,-33.918215000000004,150.9205693
1,Charles Street,Liverpool,1.0,2170.0,-33.927921000000005,150.9200678
3,Charles Street,Liverpool,1.0,2170.0,-33.9279138,150.9200582
5,Charles Street,Liverpool,1.0,2170.0,-33.9280903,150.9198697
7,Charles Street,Liverpool,1.0,2170.0,-33.9280903,150.9198697
9,Charles Street,Liverpool,1.0,2170.0,-33.9283638,150.9199715
11,Charles Street,Liverpool,1.0,2170.0,-33.9283449,150.91965080000003
13,Charles Street,Liverpool,1.0,2170.0,-33.9283449,150.91965080000003
15,Charles Street,Liverpool,1.0,2170.0,-33.928517,150.9195453
17,Charles Street,Liverpool,1.0,2170.0,-33.928517,150.9195453
19,Charles Street,Liverpool,1.0,2170.0,-33.9286887,150.91941699999995
21,Charles Street,Liverpool,1.0,2170.0,-33.92864,150.91943930000005
23,Charles Street,Liverpool,1.0,2170.0,-33.9293667,150.9190306
25,Charles Street,Liverpool,1.0,2170.0,-33.9295145,150.9189852
27,Charles Street,Liverpool,1.0,2170.0,-33.929674,150.9189852
29,Charles Street,Liverpool,1.0,2170.0,-33.929781899999995,150.91893969999995
1,Christie Street,Liverpool,1.0,2170.0,-33.933046999999995,150.9154603
3,Christie Street,Liverpool,1.0,2170.0,-33.9331463,150.91544019999995
5,Christie Street,Liverpool,1.0,2170.0,-33.933054799999994,150.91534009999995
7,Christie Street,Liverpool,1.0,2170.0,-33.933155799999994,150.9151676
9,Christie Street,Liverpool,1.0,2170.0,-33.9329904,150.9148498
11,Christie Street,Liverpool,1.0,2170.0,-33.9329904,150.9148498
13,Christie Street,Liverpool,1.0,2170.0,-33.9329904,150.9148498
15,Christie Street,Liverpool,1.0,2170.0,-33.9330599,150.91448590000005
17,Christie Street,Liverpool,1.0,2170.0,-33.9329849,150.9143495
19,Christie Street,Liverpool,1.0,2170.0,-33.93297800000001,150.91416769999995
21,Christie Street,Liverpool,1.0,2170.0,-33.932982700000004,150.9140314
23,Christie Street,Liverpool,1.0,2170.0,-33.932964,150.9138041
25,Christie Street,Liverpool,1.0,2170.0,-33.932840500000005,150.9137075
27,Christie Street,Liverpool,1.0,2170.0,-33.9329047,150.91354619999996
29,Christie Street,Liverpool,1.0,2170.0,-33.9328833,150.9135503
1,College Street,Liverpool,1.0,2170.0,-33.921800899999994,150.9299254
3,College Street,Liverpool,1.0,2170.0,-33.921606,150.9291478
5,College Street,Liverpool,1.0,2170.0,-33.92161779999999,150.92914319999997
7,College Street,Liverpool,1.0,2170.0,-33.9216296,150.9291386
